,date,endpoint_type,backend,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,failed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,max_output_tokens_per_s,max_concurrent_requests,rtfx,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p99_e2el_ms,run_number,_benchmark_name,max_num_seqs,max_num_batched_tokens,dataset_name,random_input_len,random_output_len
0,20260504-104302,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,1000,inf,1.0,,436.43083408999973,1000,0,8192000,512000,2.291313816277661,,1173.1526739341625,19943.59545688076,2432.0,1000,0.0,213333.56455478698,209311.7965844999,123769.45969399106,422891.62502311985,51.415280992788674,52.47121430430532,4.792906792841155,54.36644871690796,51.4152812036693,28.574671499882243,65.32134406771247,228.55981859973326,239606.77314210203,235960.34964349997,122714.59945858308,435780.0979521901,0,agent_long_context,64,8192,random,8192,512
1,20260504-105135,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,1000,inf,1.0,,391.0608320579995,1000,0,8192000,512000,2.5571469142981997,,1309.2592201206783,22257.40674205153,3200.0,1000,0.0,183420.601107478,176529.27223599976,111714.78158691816,369997.39438052,91.80642793866343,95.91303092661416,11.823952502434276,96.69544163326859,91.81325572662357,42.90778499989756,89.9264088837259,260.49112609000986,230333.685784135,225116.97577099994,109063.47821819568,390772.07094648015,0,agent_long_context,128,8192,random,8192,512
2,20260504-110111,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,1000,inf,1.0,,437.47569048700007,1000,0,8192000,512000,2.285841297574261,,1170.3507443580215,19895.96265408637,2432.0,1000,0.0,214008.72733783498,210020.32372299983,124192.39980320525,424722.6399290995,51.02046686154403,52.178558547945386,4.912515080566097,53.92357132426594,51.02046703355971,28.577316500104644,90.43528043792932,432.9196311900432,240080.185904084,236151.12386099962,123170.44574084632,436892.2393061894,0,agent_long_context,64,16384,random,8192,512
3,20260504-110933,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,1000,inf,1.0,,381.50181460600015,1000,0,8192000,512000,2.6212195111909495,,1342.0643897297662,22815.094625406025,3200.0,1000,0.0,179452.23476029,171496.1381864996,109042.08366929181,360522.37593939004,89.04095557132874,92.76895908414797,11.235708970164822,94.16638508338468,89.04147848642752,42.64713500015205,129.18585154754152,458.38014339991787,224952.16305723903,218886.84054549958,106321.38514100655,381258.4628996893,0,agent_long_context,128,16384,random,8192,512
