,date,endpoint_type,backend,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,failed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,max_output_tokens_per_s,max_concurrent_requests,rtfx,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p99_e2el_ms,run_number,_benchmark_name,max_num_seqs,max_num_batched_tokens,dataset_name,random_input_len,random_output_len
0,20260504-130604,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,500,inf,1.0,,187.63215385799958,500,0,4096000,256000,2.664788468923088,,1364.371696088621,23194.318833506557,3200.0,500,0.0,84416.01578309399,73896.91354799992,52732.16981021574,166987.86572960007,80.56492648607045,86.26652337769039,12.901296938875376,90.06399678430523,80.56492662493541,42.5316189998739,237.74032728224722,1649.6739017001958,125584.69321747599,118521.05707200008,48569.15980950801,187535.11783489992,0,agent_long_context,128,65536,random,8192,512
1,20260504-131051,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,500,inf,1.0,,184.91572003500005,500,0,4096000,256000,2.7039345270665045,,1384.4144778580503,23535.046123586853,4096.0,500,0.0,71920.73704158801,53643.28320100003,47315.37934259715,165083.44480038073,142.45361735240706,159.53069095694838,32.774555561931045,213.75691243808177,142.453617487319,64.32772400012254,390.20995672824995,1709.4528164005806,144714.53550866805,162707.58341200007,35818.4028838381,182917.73214648,0,agent_long_context,256,65536,random,8192,512
2,20260504-131542,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,500,inf,1.0,,186.7349846240004,500,0,4096000,256000,2.6775914593977843,,1370.9268272116656,23305.756062598313,4095.0,500,0.0,72145.71647998801,53766.10580399983,48712.793278426165,145462.41309810051,151.35813769141294,168.59353541291512,36.283727349817404,227.9367314571226,151.35813782014094,64.8103890002858,464.85702916596256,1710.506761300494,149489.72484030004,168811.84422099977,36099.408300847674,186553.11008570026,0,agent_long_context,512,65536,random,8192,512
3,20260504-132033,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,500,inf,1.0,,186.42089669899997,500,0,4096000,256000,2.6821027516422316,,1373.2366088408226,23345.022350293984,4095.0,500,0.0,72016.86439069801,54158.954469999575,48634.3097735577,145221.71901079957,150.83413049576126,167.85593065557686,36.06885907322802,227.55781924577292,150.8341306261331,64.37601949983218,463.366664637686,1710.8697330000086,149093.105074032,168473.0975164998,36147.96908201097,186245.96198769973,0,agent_long_context,1024,65536,random,8192,512
