,date,endpoint_type,backend,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,failed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,max_output_tokens_per_s,max_concurrent_requests,rtfx,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p99_e2el_ms,run_number,_benchmark_name,max_num_seqs,max_num_batched_tokens,dataset_name,random_input_len,random_output_len
0,20260504-134154,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,500,inf,1.0,,180.11665603599977,500,0,4096000,256000,2.7759786962737385,,1421.301092492154,24162.11857236662,4096.0,500,0.0,72619.10713978001,58661.962311000025,47987.4463920157,149126.76145529986,146.38873392666926,166.74643190410916,37.12826132029345,179.11464892759312,146.3887340986067,65.61242899988429,172.02905808698299,525.1979942999607,147423.750176308,149901.6599319998,32974.956713819156,180010.1681206008,0,agent_long_context,256,16384,random,8192,512
1,20260504-134644,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,500,inf,1.0,,174.1164295210001,500,0,4096000,256000,2.871641701908982,,1470.2805513773988,24994.769373415776,4096.0,500,0.0,70781.18321991799,55502.92562799995,46169.846928529965,142246.34728669995,141.29579317948733,163.5716162984342,34.63066797848019,170.21429566710407,141.29579332336206,65.38656449993141,240.8218251535929,925.326750299846,142983.333534636,142272.7567410002,31772.137820257507,174030.0359671107,0,agent_long_context,256,32768,random,8192,512
2,20260504-135132,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,500,inf,1.0,,184.5496261950002,500,0,4096000,256000,2.7092983622285223,,1387.1607614610034,23581.732944837055,4096.0,500,0.0,71594.58715436999,53194.38064899987,47261.66615656243,164833.84986927945,142.6710771633073,159.8122308023484,32.79989181277079,213.7185116715464,142.6710772932447,64.05414899973039,391.15871771556374,1709.2596508002498,144499.50758482004,162238.35435650017,35721.755449278986,182552.90498539963,0,agent_long_context,256,65536,random,8192,512
3,20260504-135621,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,500,inf,1.0,,192.1751909120003,500,0,4096000,256000,2.6017926540213874,,1332.1178388589503,22646.003260602152,4238.0,500,0.0,74043.6080868,58815.01331700019,53166.87151638274,163856.16638679043,172.78073300131115,209.3749802739719,57.689702949170204,222.22117981311246,172.78073319054792,74.98284900020735,373.0920663597119,551.6464895006902,162334.56265047,165575.8468895001,27825.07485431134,192062.12704691055,0,agent_long_context,512,16384,random,8192,512
4,20260504-140103,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,500,inf,1.0,,183.7190924460001,500,0,4096000,256000,2.7215462113550513,,1393.4316602137862,23688.338223634368,4043.0,500,0.0,71757.81081433201,54840.26439599984,51056.62529752928,154120.1175694003,161.01538764248534,195.83747942661472,52.07109517434026,214.21612636279949,161.01538778956953,71.4172189996134,418.14697426187763,936.1347310002385,154036.67389964202,154666.80707099976,28168.5591995307,183611.94321429965,0,agent_long_context,512,32768,random,8192,512
5,20260504-140552,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,500,inf,1.0,,186.88359335699988,500,0,4096000,256000,2.675462254435895,,1369.8366742711783,23287.223462610033,4095.0,500,0.0,72350.23827629199,54557.706124000106,48598.61643209567,145533.17205239998,150.79640395564383,167.63469478669296,35.963200246113786,227.462875514657,150.79640408484156,64.28664450004362,463.7541594991705,1710.2117060996807,149407.200697626,168810.4290860001,36198.842383392184,186712.57907090045,0,agent_long_context,512,65536,random,8192,512
6,20260504-141040,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,500,inf,1.0,,192.25332682299995,500,0,4096000,256000,2.600735229202719,,1331.576437351792,22636.799434980465,4160.0,500,0.0,74587.915574644,59004.2746260001,53233.18311720079,163620.50281890034,170.87060626206653,206.74824472798414,56.5392730659286,218.8792897027398,170.8706064501683,73.36665450020519,369.07557758761396,548.2047648998196,161902.79537456,165188.72954200016,28604.609461256015,192144.41887579925,0,agent_long_context,768,16384,random,8192,512
7,20260504-141522,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,500,inf,1.0,,183.8022364159997,500,0,4096000,256000,2.7203151046995413,,1392.8013336061651,23677.622671304805,4043.0,500,0.0,71906.48809660404,55474.38598899999,50970.08694635619,154288.60064439994,160.6183753354051,195.11760810567498,51.71879901999693,213.58355831659583,160.6183754782232,71.06594900005803,417.5613372067169,936.415640699397,153982.47789299604,154721.51727599977,28288.561910112043,183694.3141773006,0,agent_long_context,768,32768,random,8192,512
8,20260504-142012,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,500,inf,1.0,,186.93773535800028,500,0,4096000,256000,2.6746873713991515,,1369.4399341563656,23280.478880658215,4065.0,500,0.0,72430.728658368,54542.95690199888,48657.96710805612,145662.34561989852,150.87086120553818,168.02692762231115,36.105294214206765,227.63850417473486,150.87086133622313,64.71388499994646,464.15386812594966,1708.1697759996678,149525.73873439798,168893.88596949994,36154.90332888847,186765.43976989877,0,agent_long_context,768,65536,random,8192,512
