,date,endpoint_type,backend,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,failed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,max_output_tokens_per_s,max_concurrent_requests,rtfx,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p99_e2el_ms,run_number,_benchmark_name,max_num_seqs,max_num_batched_tokens,dataset_name,random_input_len,random_output_len
0,20260504-121100,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,500,inf,1.0,,198.36426042200003,500,0,4096000,256000,2.520615351456458,,1290.5550599457065,21939.436019077013,3200.0,500,0.0,90258.72528337399,81339.46779299999,54638.91224452239,176812.30344231002,87.03820764462621,93.85342487866924,14.524873238609324,95.55312750391401,87.03820781401957,42.432520499971815,131.50639863784886,468.3906849200423,134735.24938977798,129343.91367399997,49733.2241847721,197902.13005620008,0,agent_long_context,128,16384,random,8192,512
1,20260504-121644,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,500,inf,1.0,,185.19767806800007,500,0,4096000,256000,2.6998178660556005,,1382.3067474204674,23499.214706147945,4085.0,500,0.0,77258.45971573,62869.08385499993,48503.93707188965,154290.58667960015,147.37780979648923,168.65123066927595,38.003212722991385,181.03351851154608,147.37780996192956,66.031078999913,175.01382469439983,525.1738179000881,152568.520521736,155082.51478099992,32922.02799383132,185079.96555550004,0,agent_long_context,256,16384,random,8192,512
2,20260504-122156,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,500,inf,1.0,,189.49786874799997,500,0,4096000,256000,2.6385521024772856,,1350.9386764683702,22965.957499962293,3200.0,500,0.0,84432.337175492,74653.81097400007,53322.38661590874,168704.70253547997,83.82874427285715,90.29018066340494,13.651019113407248,92.23832768551874,83.8287444293738,42.40376400002788,177.48793162456167,863.9890401999878,127268.825498922,120796.91474000004,48886.97018990937,189399.22074239995,0,agent_long_context,128,32768,random,8192,512
3,20260504-122634,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,500,inf,1.0,,173.95195942199985,500,0,4096000,256000,2.8743568147284955,,1471.6706891409897,25018.401715396827,4096.0,500,0.0,70593.253598318,55403.18640199996,46234.979470635924,142098.99583159992,141.42147258290802,163.7103745792562,34.76649157443267,170.52330100587076,141.42147272032486,65.35044900010689,241.36587448658773,924.1862734000324,142859.626088184,142173.7094990001,31746.59220673698,173849.4974665999,0,agent_long_context,256,32768,random,8192,512
