,date,endpoint_type,backend,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,failed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,max_output_tokens_per_s,max_concurrent_requests,rtfx,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p99_e2el_ms,run_number,_benchmark_name,max_num_seqs,max_num_batched_tokens
10,20260505-012054,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,110,12.729355283999894,200,0,204800,25600,15.711714814919898,,2011.0994963097469,18099.895466787722,3410.0,200,0.0,1758.7155008999878,1879.0531180000016,598.7818235951835,2658.2810786000664,36.69782060744099,35.5791549133852,4.838525646069869,48.018089253542286,36.69782111964562,31.45872950017292,49.71874442537061,182.37960009997983,6419.338718044993,6750.925540999901,514.3710446859213,7422.256925200092,0,s02,256,32768
11,20260505-012117,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,110,12.848511362999943,200,0,204800,25600,15.566005613377367,,1992.448718512303,17932.038466610727,3520.0,200,0.0,1780.2862130850053,1958.363006999889,574.4396124654393,2667.8730635998363,37.034443958700756,36.31427698425302,4.503503243170808,45.85769851842621,37.034444435866135,31.835764500101504,48.54053913994668,163.1357802999628,6483.660595840001,6808.651234999843,498.7223637266683,7279.056015199885,1,s02,256,32768
12,20260505-012141,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,132,12.827126183000019,200,0,204800,25600,15.591957009440117,,1995.770497208335,17961.934474875015,3696.0,200,0.0,1904.2840096699751,1639.5871170000191,817.1769512162064,3208.5362011999996,39.91435564964566,41.5399993779521,8.727742169570215,54.153925990549865,39.91435617248025,36.05079399994793,56.89831355626458,220.27656999969622,6973.407177174974,7808.140232999904,1444.0731176914833,8650.547048999942,0,s02,256,32768
13,20260505-012205,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,132,12.92516359199999,200,0,204800,25600,15.47369196346495,,1980.6325713235135,17825.693141911623,3696.0,197,0.0,1947.2203317649928,1580.9814184999595,811.432191400611,3247.3238974003607,39.87926382547249,40.948944704725335,8.912803399928265,52.52363903204819,39.87926432940935,35.869355000158976,57.242177319218946,328.0669639000462,7011.8868376,7896.044161999953,1460.936887670417,9026.182669900081,1,s02,256,32768
14,20260505-012228,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,154,12.68033986599994,200,0,204800,25600,15.772447908613568,,2018.8733323025367,18169.85999072283,4004.0,200,0.0,2182.7443073900054,2409.8352639998666,1089.2876571121344,3791.445912699892,46.162989036889606,50.41112277165409,13.222366641393839,61.494115283540836,46.1629895463385,39.60229400013304,73.05098965075337,516.7685654999241,8045.443915074987,9048.823396999978,2302.794115463907,9916.968860400006,0,s02,256,32768
15,20260505-012252,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,154,12.688647735999893,200,0,204800,25600,15.762120925822956,,2017.5514785053383,18157.963306548045,4004.0,200,0.0,2191.418012089996,1984.9451509999199,1067.7352839016687,3756.3965501999473,44.679315442283425,47.162752196849695,12.712827035316803,59.335663584096004,44.68107504051344,39.61419899997054,68.12420659204616,336.6557780003405,7865.691073259991,8807.525320999957,2189.1324109145776,9745.985941500061,1,s02,256,32768
16,20260505-012315,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,176,12.30639113199959,200,0,204800,25600,16.25171814017447,,2080.2199219423323,18721.979297480993,4224.0,200,0.0,2566.608286859987,2739.360738999949,1267.7044994798473,4317.285288400126,50.767164594881926,50.92262712598428,14.148080393571727,65.95449546984254,50.76716507125993,41.943298999740364,78.36460105160891,595.7893606002517,9014.038190409992,9724.525860999847,2340.5303378059048,10265.531107300376,0,s02,256,32768
17,20260505-012338,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,176,12.308498238999618,200,0,204800,25600,16.24893598849433,,2079.8638065272744,18718.77425874547,4224.0,200,0.0,2566.4978072850226,2744.495813000185,1279.3841166647785,4328.052938699875,50.94664740818897,51.34267903937022,14.13256551026255,66.06865441889627,50.94865375439982,42.306369000016275,78.4383824950473,603.1366084003093,9036.722028125023,9768.863852000095,2356.37046329382,10272.40675889991,1,s02,256,32768
18,20260505-011619,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,200,15.020872489999874,200,0,204800,25600,13.314805789953262,,1704.2951411140175,15338.656270026158,4400.0,200,0.0,6738.332692799993,6912.039635000042,1607.4123827067804,9275.557696500113,64.50776518830712,63.30732698425196,12.142042195521293,80.35261117637866,64.51538557006731,46.37516899992988,139.4298499510236,784.9527092000517,14930.818871714995,14952.058432000058,80.96616674233906,15006.978930300096,0,s02,256,32768
19,20260505-011641,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,200,10.680588302999922,200,0,204800,25600,18.725560271228204,,2396.87171471721,21571.84543245489,4400.0,200,0.0,3124.7411609749875,3175.2587780000567,1315.2658399369107,4941.995862699949,58.79576408850396,58.48126423228316,9.92034799083166,78.12328666614232,58.795764582598366,46.16729900010341,91.62860648015952,758.238366999924,10591.80320021499,10602.354470000024,57.27285018721763,10664.103329799957,1,s02,256,32768
